2021-06-25 21:21:34,(Bomber|300),(Bomber|300),(Bomber|300),(-|34),(-|86),(-|80),(-|28),(-|26),(-|44),(-|91)
2021-06-25 21:22:12,(-|24),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|87),(-|83)
2021-06-25 21:22:13,(-|7),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|21),(-|56)
2021-06-25 21:22:14,(-|81),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|68),(-|18)
2021-06-25 21:22:15,(-|73),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|79),(-|88)
2021-06-25 21:22:16,(-|79),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|9),(-|8)
2021-06-25 21:22:17,(-|16),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|94),(-|54)
2021-06-25 21:22:18,(-|91),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|64),(-|50)
2021-06-25 21:22:19,(-|25),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|18),(-|15)
2021-06-25 21:22:20,(-|22),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|97),(-|24)
2021-06-25 21:22:21,(-|44),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|89),(-|91)
2021-06-25 21:22:22,(-|89),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|23),(-|79)
2021-06-25 21:22:23,(-|33),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|17),(-|96)
2021-06-25 21:22:24,(-|15),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|66),(-|50)
2021-06-25 21:22:25,(-|98),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|50),(-|41)
2021-06-25 21:22:26,(-|79),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|67),(-|31)
2021-06-25 21:22:27,(-|9),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|94),(-|12)
2021-06-25 21:22:28,(-|45),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|89),(-|3)
2021-06-25 21:22:29,(-|73),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|5),(-|1)
2021-06-25 21:22:30,(-|76),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|19),(-|26)
2021-06-25 21:22:31,(-|22),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|54),(-|7)
2021-06-25 21:22:32,(-|35),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|75),(-|29)
2021-06-25 21:22:33,(-|99),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(Starfighter|1240),(-|8),(-|90)
